INDEX;PART_NAME;PACKAGE_NAME;PIN_INDEX;PAD_NAME;CENTER_X;CENTER_Y;LONG_SIDE_LENGTH;SHORT_SIDE_LENGTH;ANGLE_DEGREE;NET
0;FID1;;0;0;0;0;0;0;0;FID1
1;FID2;;0;0;114;0;0;0;0;FID2
2;FID3;;0;0;114;130;0;0;0;FID3
3;FID4;;0;0;0;130;0;0;0;FID4
4;X0Y0;;0;0;0;0;0;0;0;
5;X0Y2;;0;0;0;2;0;0;0;
6;X0Y4;;0;0;0;4;0;0;0;
7;X0Y6;;0;0;0;6;0;0;0;
8;X0Y8;;0;0;0;8;0;0;0;
9;X0Y10;;0;0;0;10;0;0;0;
10;X0Y12;;0;0;0;12;0;0;0;
11;X0Y14;;0;0;0;14;0;0;0;
12;X0Y16;;0;0;0;16;0;0;0;
13;X0Y18;;0;0;0;18;0;0;0;
14;X0Y20;;0;0;0;20;0;0;0;
15;X0Y22;;0;0;0;22;0;0;0;
16;X0Y24;;0;0;0;24;0;0;0;
17;X0Y26;;0;0;0;26;0;0;0;
18;X0Y28;;0;0;0;28;0;0;0;
19;X0Y30;;0;0;0;30;0;0;0;
20;X0Y32;;0;0;0;32;0;0;0;
21;X0Y34;;0;0;0;34;0;0;0;
22;X0Y36;;0;0;0;36;0;0;0;
23;X0Y38;;0;0;0;38;0;0;0;
24;X0Y40;;0;0;0;40;0;0;0;
25;X0Y42;;0;0;0;42;0;0;0;
26;X0Y44;;0;0;0;44;0;0;0;
27;X0Y46;;0;0;0;46;0;0;0;
28;X0Y48;;0;0;0;48;0;0;0;
29;X0Y50;;0;0;0;50;0;0;0;
30;X0Y52;;0;0;0;52;0;0;0;
31;X0Y54;;0;0;0;54;0;0;0;
32;X0Y56;;0;0;0;56;0;0;0;
33;X0Y58;;0;0;0;58;0;0;0;
34;X0Y60;;0;0;0;60;0;0;0;
35;X0Y62;;0;0;0;62;0;0;0;
36;X0Y64;;0;0;0;64;0;0;0;
37;X0Y66;;0;0;0;66;0;0;0;
38;X0Y68;;0;0;0;68;0;0;0;
39;X0Y70;;0;0;0;70;0;0;0;
40;X0Y72;;0;0;0;72;0;0;0;
41;X0Y74;;0;0;0;74;0;0;0;
42;X0Y76;;0;0;0;76;0;0;0;
43;X0Y78;;0;0;0;78;0;0;0;
44;X0Y80;;0;0;0;80;0;0;0;
45;X0Y82;;0;0;0;82;0;0;0;
46;X0Y84;;0;0;0;84;0;0;0;
47;X0Y86;;0;0;0;86;0;0;0;
48;X0Y88;;0;0;0;88;0;0;0;
49;X0Y90;;0;0;0;90;0;0;0;
50;X0Y92;;0;0;0;92;0;0;0;
51;X0Y94;;0;0;0;94;0;0;0;
52;X0Y96;;0;0;0;96;0;0;0;
53;X0Y98;;0;0;0;98;0;0;0;
54;X0Y100;;0;0;0;100;0;0;0;
55;X0Y102;;0;0;0;102;0;0;0;
56;X0Y104;;0;0;0;104;0;0;0;
57;X0Y106;;0;0;0;106;0;0;0;
58;X0Y108;;0;0;0;108;0;0;0;
59;X0Y110;;0;0;0;110;0;0;0;
60;X0Y112;;0;0;0;112;0;0;0;
61;X0Y114;;0;0;0;114;0;0;0;
62;X0Y116;;0;0;0;116;0;0;0;
63;X0Y118;;0;0;0;118;0;0;0;
64;X0Y120;;0;0;0;120;0;0;0;
65;X0Y122;;0;0;0;122;0;0;0;
66;X0Y124;;0;0;0;124;0;0;0;
67;X0Y126;;0;0;0;126;0;0;0;
68;X0Y128;;0;0;0;128;0;0;0;
69;X0Y130;;0;0;0;130;0;0;0;
70;X2Y0;;0;0;2;0;0;0;0;
71;X2Y2;;0;0;2;2;0;0;0;
72;X2Y4;;0;0;2;4;0;0;0;
73;X2Y6;;0;0;2;6;0;0;0;
74;X2Y8;;0;0;2;8;0;0;0;
75;X2Y10;;0;0;2;10;0;0;0;
76;X2Y12;;0;0;2;12;0;0;0;
77;X2Y14;;0;0;2;14;0;0;0;
78;X2Y16;;0;0;2;16;0;0;0;
79;X2Y18;;0;0;2;18;0;0;0;
80;X2Y20;;0;0;2;20;0;0;0;
81;X2Y22;;0;0;2;22;0;0;0;
82;X2Y24;;0;0;2;24;0;0;0;
83;X2Y26;;0;0;2;26;0;0;0;
84;X2Y28;;0;0;2;28;0;0;0;
85;X2Y30;;0;0;2;30;0;0;0;
86;X2Y32;;0;0;2;32;0;0;0;
87;X2Y34;;0;0;2;34;0;0;0;
88;X2Y36;;0;0;2;36;0;0;0;
89;X2Y38;;0;0;2;38;0;0;0;
90;X2Y40;;0;0;2;40;0;0;0;
91;X2Y42;;0;0;2;42;0;0;0;
92;X2Y44;;0;0;2;44;0;0;0;
93;X2Y46;;0;0;2;46;0;0;0;
94;X2Y48;;0;0;2;48;0;0;0;
95;X2Y50;;0;0;2;50;0;0;0;
96;X2Y52;;0;0;2;52;0;0;0;
97;X2Y54;;0;0;2;54;0;0;0;
98;X2Y56;;0;0;2;56;0;0;0;
99;X2Y58;;0;0;2;58;0;0;0;
100;X2Y60;;0;0;2;60;0;0;0;
101;X2Y62;;0;0;2;62;0;0;0;
102;X2Y64;;0;0;2;64;0;0;0;
103;X2Y66;;0;0;2;66;0;0;0;
104;X2Y68;;0;0;2;68;0;0;0;
105;X2Y70;;0;0;2;70;0;0;0;
106;X2Y72;;0;0;2;72;0;0;0;
107;X2Y74;;0;0;2;74;0;0;0;
108;X2Y76;;0;0;2;76;0;0;0;
109;X2Y78;;0;0;2;78;0;0;0;
110;X2Y80;;0;0;2;80;0;0;0;
111;X2Y82;;0;0;2;82;0;0;0;
112;X2Y84;;0;0;2;84;0;0;0;
113;X2Y86;;0;0;2;86;0;0;0;
114;X2Y88;;0;0;2;88;0;0;0;
115;X2Y90;;0;0;2;90;0;0;0;
116;X2Y92;;0;0;2;92;0;0;0;
117;X2Y94;;0;0;2;94;0;0;0;
118;X2Y96;;0;0;2;96;0;0;0;
119;X2Y98;;0;0;2;98;0;0;0;
120;X2Y100;;0;0;2;100;0;0;0;
121;X2Y102;;0;0;2;102;0;0;0;
122;X2Y104;;0;0;2;104;0;0;0;
123;X2Y106;;0;0;2;106;0;0;0;
124;X2Y108;;0;0;2;108;0;0;0;
125;X2Y110;;0;0;2;110;0;0;0;
126;X2Y112;;0;0;2;112;0;0;0;
127;X2Y114;;0;0;2;114;0;0;0;
128;X2Y116;;0;0;2;116;0;0;0;
129;X2Y118;;0;0;2;118;0;0;0;
130;X2Y120;;0;0;2;120;0;0;0;
131;X2Y122;;0;0;2;122;0;0;0;
132;X2Y124;;0;0;2;124;0;0;0;
133;X2Y126;;0;0;2;126;0;0;0;
134;X2Y128;;0;0;2;128;0;0;0;
135;X2Y130;;0;0;2;130;0;0;0;
136;X4Y0;;0;0;4;0;0;0;0;
137;X4Y2;;0;0;4;2;0;0;0;
138;X4Y4;;0;0;4;4;0;0;0;
139;X4Y6;;0;0;4;6;0;0;0;
140;X4Y8;;0;0;4;8;0;0;0;
141;X4Y10;;0;0;4;10;0;0;0;
142;X4Y12;;0;0;4;12;0;0;0;
143;X4Y14;;0;0;4;14;0;0;0;
144;X4Y16;;0;0;4;16;0;0;0;
145;X4Y18;;0;0;4;18;0;0;0;
146;X4Y20;;0;0;4;20;0;0;0;
147;X4Y22;;0;0;4;22;0;0;0;
148;X4Y24;;0;0;4;24;0;0;0;
149;X4Y26;;0;0;4;26;0;0;0;
150;X4Y28;;0;0;4;28;0;0;0;
151;X4Y30;;0;0;4;30;0;0;0;
152;X4Y32;;0;0;4;32;0;0;0;
153;X4Y34;;0;0;4;34;0;0;0;
154;X4Y36;;0;0;4;36;0;0;0;
155;X4Y38;;0;0;4;38;0;0;0;
156;X4Y40;;0;0;4;40;0;0;0;
157;X4Y42;;0;0;4;42;0;0;0;
158;X4Y44;;0;0;4;44;0;0;0;
159;X4Y46;;0;0;4;46;0;0;0;
160;X4Y48;;0;0;4;48;0;0;0;
161;X4Y50;;0;0;4;50;0;0;0;
162;X4Y52;;0;0;4;52;0;0;0;
163;X4Y54;;0;0;4;54;0;0;0;
164;X4Y56;;0;0;4;56;0;0;0;
165;X4Y58;;0;0;4;58;0;0;0;
166;X4Y60;;0;0;4;60;0;0;0;
167;X4Y62;;0;0;4;62;0;0;0;
168;X4Y64;;0;0;4;64;0;0;0;
169;X4Y66;;0;0;4;66;0;0;0;
170;X4Y68;;0;0;4;68;0;0;0;
171;X4Y70;;0;0;4;70;0;0;0;
172;X4Y72;;0;0;4;72;0;0;0;
173;X4Y74;;0;0;4;74;0;0;0;
174;X4Y76;;0;0;4;76;0;0;0;
175;X4Y78;;0;0;4;78;0;0;0;
176;X4Y80;;0;0;4;80;0;0;0;
177;X4Y82;;0;0;4;82;0;0;0;
178;X4Y84;;0;0;4;84;0;0;0;
179;X4Y86;;0;0;4;86;0;0;0;
180;X4Y88;;0;0;4;88;0;0;0;
181;X4Y90;;0;0;4;90;0;0;0;
182;X4Y92;;0;0;4;92;0;0;0;
183;X4Y94;;0;0;4;94;0;0;0;
184;X4Y96;;0;0;4;96;0;0;0;
185;X4Y98;;0;0;4;98;0;0;0;
186;X4Y100;;0;0;4;100;0;0;0;
187;X4Y102;;0;0;4;102;0;0;0;
188;X4Y104;;0;0;4;104;0;0;0;
189;X4Y106;;0;0;4;106;0;0;0;
190;X4Y108;;0;0;4;108;0;0;0;
191;X4Y110;;0;0;4;110;0;0;0;
192;X4Y112;;0;0;4;112;0;0;0;
193;X4Y114;;0;0;4;114;0;0;0;
194;X4Y116;;0;0;4;116;0;0;0;
195;X4Y118;;0;0;4;118;0;0;0;
196;X4Y120;;0;0;4;120;0;0;0;
197;X4Y122;;0;0;4;122;0;0;0;
198;X4Y124;;0;0;4;124;0;0;0;
199;X4Y126;;0;0;4;126;0;0;0;
200;X4Y128;;0;0;4;128;0;0;0;
201;X4Y130;;0;0;4;130;0;0;0;
202;X6Y0;;0;0;6;0;0;0;0;
203;X6Y2;;0;0;6;2;0;0;0;
204;X6Y4;;0;0;6;4;0;0;0;
205;X6Y6;;0;0;6;6;0;0;0;
206;X6Y8;;0;0;6;8;0;0;0;
207;X6Y10;;0;0;6;10;0;0;0;
208;X6Y12;;0;0;6;12;0;0;0;
209;X6Y14;;0;0;6;14;0;0;0;
210;X6Y16;;0;0;6;16;0;0;0;
211;X6Y18;;0;0;6;18;0;0;0;
212;X6Y20;;0;0;6;20;0;0;0;
213;X6Y22;;0;0;6;22;0;0;0;
214;X6Y24;;0;0;6;24;0;0;0;
215;X6Y26;;0;0;6;26;0;0;0;
216;X6Y28;;0;0;6;28;0;0;0;
217;X6Y30;;0;0;6;30;0;0;0;
218;X6Y32;;0;0;6;32;0;0;0;
219;X6Y34;;0;0;6;34;0;0;0;
220;X6Y36;;0;0;6;36;0;0;0;
221;X6Y38;;0;0;6;38;0;0;0;
222;X6Y40;;0;0;6;40;0;0;0;
223;X6Y42;;0;0;6;42;0;0;0;
224;X6Y44;;0;0;6;44;0;0;0;
225;X6Y46;;0;0;6;46;0;0;0;
226;X6Y48;;0;0;6;48;0;0;0;
227;X6Y50;;0;0;6;50;0;0;0;
228;X6Y52;;0;0;6;52;0;0;0;
229;X6Y54;;0;0;6;54;0;0;0;
230;X6Y56;;0;0;6;56;0;0;0;
231;X6Y58;;0;0;6;58;0;0;0;
232;X6Y60;;0;0;6;60;0;0;0;
233;X6Y62;;0;0;6;62;0;0;0;
234;X6Y64;;0;0;6;64;0;0;0;
235;X6Y66;;0;0;6;66;0;0;0;
236;X6Y68;;0;0;6;68;0;0;0;
237;X6Y70;;0;0;6;70;0;0;0;
238;X6Y72;;0;0;6;72;0;0;0;
239;X6Y74;;0;0;6;74;0;0;0;
240;X6Y76;;0;0;6;76;0;0;0;
241;X6Y78;;0;0;6;78;0;0;0;
242;X6Y80;;0;0;6;80;0;0;0;
243;X6Y82;;0;0;6;82;0;0;0;
244;X6Y84;;0;0;6;84;0;0;0;
245;X6Y86;;0;0;6;86;0;0;0;
246;X6Y88;;0;0;6;88;0;0;0;
247;X6Y90;;0;0;6;90;0;0;0;
248;X6Y92;;0;0;6;92;0;0;0;
249;X6Y94;;0;0;6;94;0;0;0;
250;X6Y96;;0;0;6;96;0;0;0;
251;X6Y98;;0;0;6;98;0;0;0;
252;X6Y100;;0;0;6;100;0;0;0;
253;X6Y102;;0;0;6;102;0;0;0;
254;X6Y104;;0;0;6;104;0;0;0;
255;X6Y106;;0;0;6;106;0;0;0;
256;X6Y108;;0;0;6;108;0;0;0;
257;X6Y110;;0;0;6;110;0;0;0;
258;X6Y112;;0;0;6;112;0;0;0;
259;X6Y114;;0;0;6;114;0;0;0;
260;X6Y116;;0;0;6;116;0;0;0;
261;X6Y118;;0;0;6;118;0;0;0;
262;X6Y120;;0;0;6;120;0;0;0;
263;X6Y122;;0;0;6;122;0;0;0;
264;X6Y124;;0;0;6;124;0;0;0;
265;X6Y126;;0;0;6;126;0;0;0;
266;X6Y128;;0;0;6;128;0;0;0;
267;X6Y130;;0;0;6;130;0;0;0;
268;X8Y0;;0;0;8;0;0;0;0;
269;X8Y2;;0;0;8;2;0;0;0;
270;X8Y4;;0;0;8;4;0;0;0;
271;X8Y6;;0;0;8;6;0;0;0;
272;X8Y8;;0;0;8;8;0;0;0;
273;X8Y10;;0;0;8;10;0;0;0;
274;X8Y12;;0;0;8;12;0;0;0;
275;X8Y14;;0;0;8;14;0;0;0;
276;X8Y16;;0;0;8;16;0;0;0;
277;X8Y18;;0;0;8;18;0;0;0;
278;X8Y20;;0;0;8;20;0;0;0;
279;X8Y22;;0;0;8;22;0;0;0;
280;X8Y24;;0;0;8;24;0;0;0;
281;X8Y26;;0;0;8;26;0;0;0;
282;X8Y28;;0;0;8;28;0;0;0;
283;X8Y30;;0;0;8;30;0;0;0;
284;X8Y32;;0;0;8;32;0;0;0;
285;X8Y34;;0;0;8;34;0;0;0;
286;X8Y36;;0;0;8;36;0;0;0;
287;X8Y38;;0;0;8;38;0;0;0;
288;X8Y40;;0;0;8;40;0;0;0;
289;X8Y42;;0;0;8;42;0;0;0;
290;X8Y44;;0;0;8;44;0;0;0;
291;X8Y46;;0;0;8;46;0;0;0;
292;X8Y48;;0;0;8;48;0;0;0;
293;X8Y50;;0;0;8;50;0;0;0;
294;X8Y52;;0;0;8;52;0;0;0;
295;X8Y54;;0;0;8;54;0;0;0;
296;X8Y56;;0;0;8;56;0;0;0;
297;X8Y58;;0;0;8;58;0;0;0;
298;X8Y60;;0;0;8;60;0;0;0;
299;X8Y62;;0;0;8;62;0;0;0;
300;X8Y64;;0;0;8;64;0;0;0;
301;X8Y66;;0;0;8;66;0;0;0;
302;X8Y68;;0;0;8;68;0;0;0;
303;X8Y70;;0;0;8;70;0;0;0;
304;X8Y72;;0;0;8;72;0;0;0;
305;X8Y74;;0;0;8;74;0;0;0;
306;X8Y76;;0;0;8;76;0;0;0;
307;X8Y78;;0;0;8;78;0;0;0;
308;X8Y80;;0;0;8;80;0;0;0;
309;X8Y82;;0;0;8;82;0;0;0;
310;X8Y84;;0;0;8;84;0;0;0;
311;X8Y86;;0;0;8;86;0;0;0;
312;X8Y88;;0;0;8;88;0;0;0;
313;X8Y90;;0;0;8;90;0;0;0;
314;X8Y92;;0;0;8;92;0;0;0;
315;X8Y94;;0;0;8;94;0;0;0;
316;X8Y96;;0;0;8;96;0;0;0;
317;X8Y98;;0;0;8;98;0;0;0;
318;X8Y100;;0;0;8;100;0;0;0;
319;X8Y102;;0;0;8;102;0;0;0;
320;X8Y104;;0;0;8;104;0;0;0;
321;X8Y106;;0;0;8;106;0;0;0;
322;X8Y108;;0;0;8;108;0;0;0;
323;X8Y110;;0;0;8;110;0;0;0;
324;X8Y112;;0;0;8;112;0;0;0;
325;X8Y114;;0;0;8;114;0;0;0;
326;X8Y116;;0;0;8;116;0;0;0;
327;X8Y118;;0;0;8;118;0;0;0;
328;X8Y120;;0;0;8;120;0;0;0;
329;X8Y122;;0;0;8;122;0;0;0;
330;X8Y124;;0;0;8;124;0;0;0;
331;X8Y126;;0;0;8;126;0;0;0;
332;X8Y128;;0;0;8;128;0;0;0;
333;X8Y130;;0;0;8;130;0;0;0;
334;X10Y0;;0;0;10;0;0;0;0;
335;X10Y2;;0;0;10;2;0;0;0;
336;X10Y4;;0;0;10;4;0;0;0;
337;X10Y6;;0;0;10;6;0;0;0;
338;X10Y8;;0;0;10;8;0;0;0;
339;X10Y10;;0;0;10;10;0;0;0;
340;X10Y12;;0;0;10;12;0;0;0;
341;X10Y14;;0;0;10;14;0;0;0;
342;X10Y16;;0;0;10;16;0;0;0;
343;X10Y18;;0;0;10;18;0;0;0;
344;X10Y20;;0;0;10;20;0;0;0;
345;X10Y22;;0;0;10;22;0;0;0;
346;X10Y24;;0;0;10;24;0;0;0;
347;X10Y26;;0;0;10;26;0;0;0;
348;X10Y28;;0;0;10;28;0;0;0;
349;X10Y30;;0;0;10;30;0;0;0;
350;X10Y32;;0;0;10;32;0;0;0;
351;X10Y34;;0;0;10;34;0;0;0;
352;X10Y36;;0;0;10;36;0;0;0;
353;X10Y38;;0;0;10;38;0;0;0;
354;X10Y40;;0;0;10;40;0;0;0;
355;X10Y42;;0;0;10;42;0;0;0;
356;X10Y44;;0;0;10;44;0;0;0;
357;X10Y46;;0;0;10;46;0;0;0;
358;X10Y48;;0;0;10;48;0;0;0;
359;X10Y50;;0;0;10;50;0;0;0;
360;X10Y52;;0;0;10;52;0;0;0;
361;X10Y54;;0;0;10;54;0;0;0;
362;X10Y56;;0;0;10;56;0;0;0;
363;X10Y58;;0;0;10;58;0;0;0;
364;X10Y60;;0;0;10;60;0;0;0;
365;X10Y62;;0;0;10;62;0;0;0;
366;X10Y64;;0;0;10;64;0;0;0;
367;X10Y66;;0;0;10;66;0;0;0;
368;X10Y68;;0;0;10;68;0;0;0;
369;X10Y70;;0;0;10;70;0;0;0;
370;X10Y72;;0;0;10;72;0;0;0;
371;X10Y74;;0;0;10;74;0;0;0;
372;X10Y76;;0;0;10;76;0;0;0;
373;X10Y78;;0;0;10;78;0;0;0;
374;X10Y80;;0;0;10;80;0;0;0;
375;X10Y82;;0;0;10;82;0;0;0;
376;X10Y84;;0;0;10;84;0;0;0;
377;X10Y86;;0;0;10;86;0;0;0;
378;X10Y88;;0;0;10;88;0;0;0;
379;X10Y90;;0;0;10;90;0;0;0;
380;X10Y92;;0;0;10;92;0;0;0;
381;X10Y94;;0;0;10;94;0;0;0;
382;X10Y96;;0;0;10;96;0;0;0;
383;X10Y98;;0;0;10;98;0;0;0;
384;X10Y100;;0;0;10;100;0;0;0;
385;X10Y102;;0;0;10;102;0;0;0;
386;X10Y104;;0;0;10;104;0;0;0;
387;X10Y106;;0;0;10;106;0;0;0;
388;X10Y108;;0;0;10;108;0;0;0;
389;X10Y110;;0;0;10;110;0;0;0;
390;X10Y112;;0;0;10;112;0;0;0;
391;X10Y114;;0;0;10;114;0;0;0;
392;X10Y116;;0;0;10;116;0;0;0;
393;X10Y118;;0;0;10;118;0;0;0;
394;X10Y120;;0;0;10;120;0;0;0;
395;X10Y122;;0;0;10;122;0;0;0;
396;X10Y124;;0;0;10;124;0;0;0;
