########################################################################################
Starting Measurement Run at 08/10/2020 16:58:21
CSV file: pcb-full.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
AIR;;;;;;277 2B4 1ED 1E8 0F0 065
AIR;;;;;;277 2B3 1ED 1E8 0EF 064
AIR;;;;;;277 2B4 1ED 1E8 0F0 064
AIR;;;;;;277 2B4 1EC 1E8 0EF 064
AIR;;;;;;276 2B4 1ED 1E8 0EF 064
AIR;;;;;;278 2B4 1EC 1E8 0EF 064
AIR;;;;;;278 2B5 1ED 1E8 0EF 063
AIR;;;;;;278 2B4 1EC 1E8 0EF 064
AIR;;;;;;278 2B5 1ED 1E8 0F0 064
AIR;;;;;;278 2B5 1ED 1E8 0EF 064
AIR;;;;;;278 2B4 1ED 1E8 0EF 064
AIR;;;;;;278 2B4 1EC 1E8 0F0 064
AIR;;;;;;278 2B4 1EC 1E8 0F0 065
AIR;;;;;;277 2B4 1EC 1E8 0EF 064
AIR;;;;;;278 2B5 1ED 1E8 0EF 064
AIR;;;;;;276 2B4 1EC 1E8 0EF 064
BETA;BETA_TCK;0;1;51.5563;80.5129;278 2B4 1ED 1E6 116 067
BETA;BETA_TCK;0;1;51.5563;80.5129;278 2B4 1ED 1E8 10A 055
BETA;BETA_TCK;0;1;51.5563;80.5129;277 2B4 1ED 1EE 0F5 069
BETA;BETA_TCK;0;1;51.5563;80.5129;278 2B4 1EB 1E1 0EB 06E
BETA;BETA_TCK;0;1;51.5563;80.5129;278 2B4 1EC 1E7 0ED 075
BETA;BETA_TCK;0;1;51.5563;80.5129;276 2B4 1ED 1E2 0F7 06F
BETA;BETA_TCK;0;1;51.5563;80.5129;278 2B4 1EA 1E9 0F6 059
BETA;BETA_TCK;0;1;51.5563;80.5129;277 2B4 1EC 1DF 0EB 05C
BETA;BETA_TCK;0;1;51.5563;80.5129;277 2B5 1ED 1E7 0F0 062
BETA;BETA_TCK;0;1;51.5563;80.5129;277 2B4 1EC 1E6 0FB 06F
BETA;BETA_TCK;0;1;51.5563;80.5129;278 2B4 1EC 1EB 106 077
BETA;BETA_TCK;0;1;51.5563;80.5129;277 2B5 1ED 1E8 10D 07F
BETA;BETA_TCK;0;1;51.5563;80.5129;277 2B4 1ED 1E8 0E1 07F
