INDEX;PART_NAME;PACKAGE_NAME;PIN_INDEX;PAD_NAME;CENTER_X;CENTER_Y;LONG_SIDE_LENGTH;SHORT_SIDE_LENGTH;ANGLE_DEGREE;NET
0;ZED;µZ-CONONLY;0;1;-19.6;24.226;0.5;2.0;180;ZED_TCK
1;ZED;µZ-CONONLY;1;2;-19.6;20.226;0.5;2.0;180;ZED_TMS
2;ZED;µZ-CONONLY;2;3;-18.8;24.226;0.5;2.0;180;ZED_TDO
3;ZED;µZ-CONONLY;3;4;-18.8;20.226;0.5;2.0;180;ZED_TDI
4;ZED;µZ-CONONLY;4;5;-18.0;24.226;0.5;2.0;180;N$106
5;ZED;µZ-CONONLY;5;6;-18.0;20.226;0.5;2.0;180;N$248
6;ZED;µZ-CONONLY;6;7;-17.2;24.226;0.5;2.0;180;VBAT
7;ZED;µZ-CONONLY;7;8;-17.2;20.226;0.5;2.0;180;N$249
8;ZED;µZ-CONONLY;8;9;-16.4;24.226;0.5;2.0;180;SE_0
9;ZED;µZ-CONONLY;9;10;-16.4;20.226;0.5;2.0;180;SE_1
10;ZED;µZ-CONONLY;10;11;-15.6;24.226;0.5;2.0;180;JX1_00_P
11;ZED;µZ-CONONLY;11;12;-15.6;20.226;0.5;2.0;180;JX1_01_P
12;ZED;µZ-CONONLY;12;13;-14.8;24.226;0.5;2.0;180;JX1_00_N
13;ZED;µZ-CONONLY;13;14;-14.8;20.226;0.5;2.0;180;JX1_01_N
14;ZED;µZ-CONONLY;14;15;-14.0;24.226;0.5;2.0;180;GND
15;ZED;µZ-CONONLY;15;16;-14.0;20.226;0.5;2.0;180;GND
16;ZED;µZ-CONONLY;16;17;-13.2;24.226;0.5;2.0;180;JX1_02_P
17;ZED;µZ-CONONLY;17;18;-13.2;20.226;0.5;2.0;180;JX1_03_P
18;ZED;µZ-CONONLY;18;19;-12.4;24.226;0.5;2.0;180;JX1_02_N
19;ZED;µZ-CONONLY;19;20;-12.4;20.226;0.5;2.0;180;JX1_03_N
20;ZED;µZ-CONONLY;20;21;-11.6;24.226;0.5;2.0;180;GND
21;ZED;µZ-CONONLY;21;22;-11.6;20.226;0.5;2.0;180;GND
22;ZED;µZ-CONONLY;22;23;-10.8;24.226;0.5;2.0;180;JX1_04_P
23;ZED;µZ-CONONLY;23;24;-10.8;20.226;0.5;2.0;180;JX1_05_P
24;ZED;µZ-CONONLY;24;25;-10.0;24.226;0.5;2.0;180;JX1_04_N
25;ZED;µZ-CONONLY;25;26;-10.0;20.226;0.5;2.0;180;JX1_05_N
26;ZED;µZ-CONONLY;26;27;-9.2;24.226;0.5;2.0;180;GND
27;ZED;µZ-CONONLY;27;28;-9.2;20.226;0.5;2.0;180;GND
28;ZED;µZ-CONONLY;28;29;-8.4;24.226;0.5;2.0;180;JX1_06_P
29;ZED;µZ-CONONLY;29;30;-8.4;20.226;0.5;2.0;180;JX1_07_P
30;ZED;µZ-CONONLY;30;31;-7.6;24.226;0.5;2.0;180;JX1_06_N
31;ZED;µZ-CONONLY;31;32;-7.6;20.226;0.5;2.0;180;JX1_07_N
32;ZED;µZ-CONONLY;32;33;-6.8;24.226;0.5;2.0;180;GND
33;ZED;µZ-CONONLY;33;34;-6.8;20.226;0.5;2.0;180;GND
34;ZED;µZ-CONONLY;34;35;-6.0;24.226;0.5;2.0;180;JX1_08_P
35;ZED;µZ-CONONLY;35;36;-6.0;20.226;0.5;2.0;180;JX1_09_P
36;ZED;µZ-CONONLY;36;37;-5.2;24.226;0.5;2.0;180;JX1_08_N
37;ZED;µZ-CONONLY;37;38;-5.2;20.226;0.5;2.0;180;JX1_09_N
38;ZED;µZ-CONONLY;38;39;-4.4;24.226;0.5;2.0;180;GND
39;ZED;µZ-CONONLY;39;40;-4.4;20.226;0.5;2.0;180;GND
40;ZED;µZ-CONONLY;40;41;-3.6;24.226;0.5;2.0;180;JX1_10_P
41;ZED;µZ-CONONLY;41;42;-3.6;20.226;0.5;2.0;180;JX1_11_P
42;ZED;µZ-CONONLY;42;43;-2.8;24.226;0.5;2.0;180;JX1_10_N
43;ZED;µZ-CONONLY;43;44;-2.8;20.226;0.5;2.0;180;JX1_11_N
44;ZED;µZ-CONONLY;44;45;-2.0;24.226;0.5;2.0;180;GND
45;ZED;µZ-CONONLY;45;46;-2.0;20.226;0.5;2.0;180;GND
46;ZED;µZ-CONONLY;46;47;-1.2;24.226;0.5;2.0;180;JX1_12_P
47;ZED;µZ-CONONLY;47;48;-1.2;20.226;0.5;2.0;180;JX1_13_P
48;ZED;µZ-CONONLY;48;49;-0.4;24.226;0.5;2.0;180;JX1_12_N
49;ZED;µZ-CONONLY;49;50;-0.4;20.226;0.5;2.0;180;JX1_13_N
50;ZED;µZ-CONONLY;50;51;0.4;24.226;0.5;2.0;180;GND
51;ZED;µZ-CONONLY;51;52;0.4;20.226;0.5;2.0;180;GND
52;ZED;µZ-CONONLY;52;53;1.2;24.226;0.5;2.0;180;JX1_14_P
53;ZED;µZ-CONONLY;53;54;1.2;20.226;0.5;2.0;180;JX1_15_P
54;ZED;µZ-CONONLY;54;55;2.0;24.226;0.5;2.0;180;JX1_14_N
55;ZED;µZ-CONONLY;55;56;2.0;20.226;0.5;2.0;180;JX1_15_N
56;ZED;µZ-CONONLY;56;57;2.8;24.226;0.5;2.0;180;ZED_5V'
57;ZED;µZ-CONONLY;57;58;2.8;20.226;0.5;2.0;180;ZED_5V'
58;ZED;µZ-CONONLY;58;59;3.6;24.226;0.5;2.0;180;ZED_5V'
59;ZED;µZ-CONONLY;59;60;3.6;20.226;0.5;2.0;180;ZED_5V'
60;ZED;µZ-CONONLY;60;61;4.4;24.226;0.5;2.0;180;JX1_16_P
61;ZED;µZ-CONONLY;61;62;4.4;20.226;0.5;2.0;180;JX1_17_P
62;ZED;µZ-CONONLY;62;63;5.2;24.226;0.5;2.0;180;JX1_16_N
63;ZED;µZ-CONONLY;63;64;5.2;20.226;0.5;2.0;180;JX1_17_N
64;ZED;µZ-CONONLY;64;65;6.0;24.226;0.5;2.0;180;GND
65;ZED;µZ-CONONLY;65;66;6.0;20.226;0.5;2.0;180;GND
66;ZED;µZ-CONONLY;66;67;6.8;24.226;0.5;2.0;180;JX1_18_P
67;ZED;µZ-CONONLY;67;68;6.8;20.226;0.5;2.0;180;JX1_19_P
68;ZED;µZ-CONONLY;68;69;7.6;24.226;0.5;2.0;180;JX1_18_N
69;ZED;µZ-CONONLY;69;70;7.6;20.226;0.5;2.0;180;JX1_19_N
70;ZED;µZ-CONONLY;70;71;8.4;24.226;0.5;2.0;180;GND
71;ZED;µZ-CONONLY;71;72;8.4;20.226;0.5;2.0;180;GND
