INDEX;PART_NAME;PACKAGE_NAME;PIN_INDEX;PAD_NAME;CENTER_X;CENTER_Y;LONG_SIDE_LENGTH;SHORT_SIDE_LENGTH;ANGLE_DEGREE;NET
0;FID1;;0;0;-49.53;27.305;0;0;0;FID1
1;FID2;;0;0;-49.53;-27.305;0;0;0;FID2
2;FID3;;0;0;49.53;-27.305;0;0;0;FID3
3;FID4;;0;0;49.53;27.305;0;0;0;FID4
4;U6;QFN50P400X400X80-25N;0;1;-1.25;-1.95;0.8128;0.3048;0;SW_EN
5;U6;QFN50P400X400X80-25N;1;2;-0.75;-1.95;0.8128;0.3048;0;SS_PG
6;U6;QFN50P400X400X80-25N;2;3;-0.25;-1.95;0.8128;0.3048;0;SS_EN
7;U6;QFN50P400X400X80-25N;3;4;0.25;-1.95;0.8128;0.3048;0;SE_PG
8;U6;QFN50P400X400X80-25N;4;5;0.75;-1.95;0.8128;0.3048;0;SE_EN
9;U6;QFN50P400X400X80-25N;5;6;1.25;-1.95;0.8128;0.3048;0;EE_PG
10;U6;QFN50P400X400X80-25N;6;7;1.95;-1.25;0.8128;0.3048;90;EE_EN
11;U6;QFN50P400X400X80-25N;7;8;1.95;-0.75;0.8128;0.3048;90;VCC
12;U6;QFN50P400X400X80-25N;8;9;1.95;-0.25;0.8128;0.3048;90;PMOD_SCL
13;U6;QFN50P400X400X80-25N;9;10;1.95;0.25;0.8128;0.3048;90;PMOD_SDA
14;U6;QFN50P400X400X80-25N;10;11;1.95;0.75;0.8128;0.3048;90;N$4020
15;U6;QFN50P400X400X80-25N;11;12;1.95;1.25;0.8128;0.3048;90;VCC
16;U6;QFN50P400X400X80-25N;12;13;1.25;1.95;0.8128;0.3048;0;
17;U6;QFN50P400X400X80-25N;13;14;0.75;1.95;0.8128;0.3048;0;
18;U6;QFN50P400X400X80-25N;14;15;0.25;1.95;0.8128;0.3048;0;NE_PG
19;U6;QFN50P400X400X80-25N;15;16;-0.25;1.95;0.8128;0.3048;0;NE_EN
20;U6;QFN50P400X400X80-25N;16;17;-0.75;1.95;0.8128;0.3048;0;NN_PG
21;U6;QFN50P400X400X80-25N;17;18;-1.25;1.95;0.8128;0.3048;0;NN_EN
22;U6;QFN50P400X400X80-25N;18;19;-1.95;1.25;0.8128;0.3048;90;NW_PG
23;U6;QFN50P400X400X80-25N;19;20;-1.95;0.75;0.8128;0.3048;90;NW_EN
24;U6;QFN50P400X400X80-25N;20;21;-1.95;0.25;0.8128;0.3048;90;WW_PG
25;U6;QFN50P400X400X80-25N;21;22;-1.95;-0.25;0.8128;0.3048;90;WW_EN
26;U6;QFN50P400X400X80-25N;22;23;-1.95;-0.75;0.8128;0.3048;90;GND
27;U6;QFN50P400X400X80-25N;23;24;-1.95;-1.25;0.8128;0.3048;90;SW_PG
28;U6;QFN50P400X400X80-25N;24;25;0;0;2.2;2.2;90;GND
29;U3;SIL0008D-GM;0;1;45.305;18.438;0.5;0.4;90;BETA_5V_EN
30;U3;SIL0008D-GM;1;2;45.305;17.787;0.5;0.4;90;VIN
31;U3;SIL0008D-GM;2;3;45.305;17.137;0.5;0.4;90;GND
32;U3;SIL0008D-GM;3;4;45.305;16.487;0.5;0.4;90;BETA_5V
33;U3;SIL0008D-GM;4;5;47.405;16.487;0.5;0.4;90;BETA_5V
34;U3;SIL0008D-GM;5;6;47.405;17.137;0.5;0.4;90;N$15
35;U3;SIL0008D-GM;6;7;47.405;17.787;0.5;0.4;90;BETA_5V_PG
36;U3;SIL0008D-GM;7;8;47.405;18.438;0.5;0.4;90;N$8
37;U3;SIL0008D-GM;8;EPAD;46.355;17.462;1.9;1.1;0;GND
38;U23;DFN3X3_10LEAD;0;1;-35.83;20.5;0.7;0.3;180;VCCIO
39;U23;DFN3X3_10LEAD;1;2;-36.33;20.5;0.7;0.3;180;PCIE_VCCIO
40;U23;DFN3X3_10LEAD;2;3;-36.83;20.5;0.7;0.3;180;VCCIO
41;U23;DFN3X3_10LEAD;3;4;-37.33;20.5;0.7;0.3;180;VCCO_34
42;U23;DFN3X3_10LEAD;4;9;-36.33;17.6;0.7;0.3;180;PMOD_SCL
43;U23;DFN3X3_10LEAD;5;6;-37.83;17.6;0.7;0.3;180;N$76
44;U23;DFN3X3_10LEAD;6;7;-37.33;17.6;0.7;0.3;180;
45;U23;DFN3X3_10LEAD;7;8;-36.83;17.6;0.7;0.3;180;PMOD_SDA
46;U23;DFN3X3_10LEAD;8;EPAD;-36.83;19.05;2.3;1.6;90;GND
47;U23;DFN3X3_10LEAD;9;5;-37.83;20.5;0.7;0.3;180;GND
48;U23;DFN3X3_10LEAD;10;10;-35.83;17.6;0.7;0.3;180;VCC
49;U24;DFN3X3_10LEAD;0;1;-37.83;-20.5;0.7;0.3;0;VCCIO
50;U24;DFN3X3_10LEAD;1;2;-37.33;-20.5;0.7;0.3;0;VCCO_35
51;U24;DFN3X3_10LEAD;2;3;-36.83;-20.5;0.7;0.3;0;VCCIO
52;U24;DFN3X3_10LEAD;3;4;-36.33;-20.5;0.7;0.3;0;VCCO_13
53;U24;DFN3X3_10LEAD;4;9;-37.33;-17.6;0.7;0.3;0;PMOD_SCL
54;U24;DFN3X3_10LEAD;5;6;-35.83;-17.6;0.7;0.3;0;N$38
55;U24;DFN3X3_10LEAD;6;7;-36.33;-17.6;0.7;0.3;0;
56;U24;DFN3X3_10LEAD;7;8;-36.83;-17.6;0.7;0.3;0;PMOD_SDA
57;U24;DFN3X3_10LEAD;8;EPAD;-36.83;-19.05;2.3;1.6;90;GND
58;U24;DFN3X3_10LEAD;9;5;-35.83;-20.5;0.7;0.3;0;GND
59;U24;DFN3X3_10LEAD;10;10;-37.83;-17.6;0.7;0.3;0;VCC
60;PB-SE;DF12(XX)-20DP-0.5V;0;1;29.055;-16.22;1.8;0.35;90;B_!RST
61;PB-SE;DF12(XX)-20DP-0.5V;1;3;29.055;-15.72;1.8;0.35;90;S_VE_OV
62;PB-SE;DF12(XX)-20DP-0.5V;2;5;29.055;-15.22;1.8;0.35;90;S_VS_OV
63;PB-SE;DF12(XX)-20DP-0.5V;3;7;29.055;-14.72;1.8;0.35;90;S_VW_OV
64;PB-SE;DF12(XX)-20DP-0.5V;4;9;29.055;-14.22;1.8;0.35;90;E_VE_OV
65;PB-SE;DF12(XX)-20DP-0.5V;5;11;29.055;-13.72;1.8;0.35;90;E_VE_UV
66;PB-SE;DF12(XX)-20DP-0.5V;6;13;29.055;-13.22;1.8;0.35;90;S_CHK_V
67;PB-SE;DF12(XX)-20DP-0.5V;7;15;29.055;-12.72;1.8;0.35;90;S_VE_UV
68;PB-SE;DF12(XX)-20DP-0.5V;8;17;29.055;-12.22;1.8;0.35;90;S_VS_UV
