########################################################################################
Starting Measurement Run at 10/10/2020 19:43:22
CSV file: axiom_beta_power_board_v0.34_top.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
AIR;;;;;;;278 2B4 1EC 1E7 0F9 068
AIR;;;;;;;277 2B4 1EC 1E7 0F7 066
AIR;;;;;;;277 2B4 1ED 1E8 0F8 066
AIR;;;;;;;277 2B4 1EC 1E8 0F8 066
AIR;;;;;;;277 2B4 1ED 1E7 0F8 066
AIR;;;;;;;277 2B4 1EC 1E8 0F8 067
AIR;;;;;;;277 2B4 1ED 1E7 0F7 067
AIR;;;;;;;277 2B4 1EC 1E8 0F8 066
AIR;;;;;;;278 2B3 1EC 1E4 0F8 065
AIR;;;;;;;277 2B2 1EC 1E8 0F8 067
AIR;;;;;;;278 2B2 1EC 1E8 0F8 066
AIR;;;;;;;278 2B3 1EC 1E8 0F8 066
AIR;;;;;;;278 2B2 1EC 1E8 0FA 067
AIR;;;;;;;277 2B4 1EC 1E7 0F8 066
AIR;;;;;;;277 2B4 1ED 1E7 0F7 066
AIR;;;;;;;277 2B4 1EC 1E7 0F8 066
########################################################################################
Starting Measurement Run at 11/10/2020 13:11:05
CSV file: axiom_beta_power_board_v0.34_top.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
AIR;;;;;;;1C3 2B5 1EC 1E8 0F9 067
AIR;;;;;;;278 2B5 1EC 1E8 0F9 066
AIR;;;;;;;278 2B5 1ED 1E8 0F8 067
AIR;;;;;;;278 2B5 1ED 1E8 0F7 067
AIR;;;;;;;278 2B5 1EB 1E7 0F9 066
AIR;;;;;;;277 2B5 1ED 1E8 0F9 067
AIR;;;;;;;277 2B5 1EC 1E8 0F8 066
AIR;;;;;;;277 2B5 1ED 1E8 0F8 066
AIR;;;;;;;278 2B5 1EC 1E8 0F9 066
AIR;;;;;;;277 2B5 1ED 1E8 0F9 066
AIR;;;;;;;278 2B6 1ED 1E8 0F9 066
AIR;;;;;;;278 2B6 1EB 1E7 0F9 067
AIR;;;;;;;277 2B6 1ED 1E8 0F9 066
AIR;;;;;;;277 2B5 1EB 1E7 0F8 066
AIR;;;;;;;277 2B6 1ED 1E8 0F9 067
AIR;;;;;;;276 2B5 1EB 1E8 0F9 067
########################################################################################
Starting Measurement Run at 11/10/2020 13:13:03
CSV file: axiom_beta_power_board_v0.34_top.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
AIR;;;;;;;277 2B5 1E9 1E8 0F9 067
AIR;;;;;;;277 2B6 1EC 1E8 0F9 067
AIR;;;;;;;278 2B5 1ED 1E8 0F9 067
AIR;;;;;;;276 2B5 1EB 1E8 0F9 067
AIR;;;;;;;277 2B7 1ED 1E8 0F9 066
AIR;;;;;;;278 2B5 1EB 1E8 0F9 067
AIR;;;;;;;277 2B6 1ED 1E8 0F9 066
AIR;;;;;;;278 2B6 1ED 1E8 0F9 066
AIR;;;;;;;278 2B6 1EC 1E8 0FA 066
AIR;;;;;;;276 2B6 1ED 1E8 0F9 066
AIR;;;;;;;278 2B5 1EB 1E7 0F9 066
AIR;;;;;;;277 2B5 1EB 1E8 0F9 067
AIR;;;;;;;277 2B5 1EC 1E8 0F9 066
AIR;;;;;;;277 2B5 1ED 1E8 0F9 066
AIR;;;;;;;277 2B5 1ED 1E8 0F9 067
AIR;;;;;;;277 2B5 1ED 1E8 0F9 066
########################################################################################
Starting Measurement Run at 11/10/2020 13:13:17
CSV file: axiom_beta_power_board_v0.34_top.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
AIR;;;;;;;278 2B6 1EC 1E8 0F9 068
AIR;;;;;;;277 2B7 1EC 1E8 0F9 066
AIR;;;;;;;276 2B5 1ED 1E8 0F8 066
AIR;;;;;;;276 2B6 1ED 1E8 0F9 068
AIR;;;;;;;276 2B6 1ED 1E8 0F9 067
AIR;;;;;;;277 2B6 1EC 1E7 0FA 067
AIR;;;;;;;277 2B6 1EC 1E8 0F9 068
AIR;;;;;;;277 2B5 1ED 1E8 0F9 066
AIR;;;;;;;277 2B6 1EC 1E8 0FB 067
AIR;;;;;;;277 2B6 1ED 1E8 0F9 067
AIR;;;;;;;276 2B5 1EC 1E7 0F9 066
AIR;;;;;;;277 2B6 1EC 1E8 0F9 066
AIR;;;;;;;276 2B6 1EB 1E8 0F9 066
AIR;;;;;;;277 2B6 1ED 1E8 0F9 067
AIR;;;;;;;277 2B6 1ED 1E8 0F9 066
AIR;;;;;;;277 2B5 1ED 1E8 0F9 066
########################################################################################
Starting Measurement Run at 11/10/2020 13:17:54
CSV file: axiom_beta_power_board_v0.34_top.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
AIR;;;;;;;278 2B5 1ED 1E7 0F9 067
AIR;;;;;;;277 2B5 1ED 1E8 0F9 065
AIR;;;;;;;277 2B5 1ED 1E8 0F9 066
AIR;;;;;;;277 2B5 1ED 1E8 0F9 067
